CVEGEO,NOMGEO,NOMGEO2
07,Chiapas,chiapas
11,Guanajuato,guanajuato
15,México,mexico
29,Tlaxcala,tlaxcala
30,Veracruz de Ignacio de la Llave,veracruz de ignacio de la llave
14,Jalisco,jalisco
21,Puebla,puebla
05,Coahuila de Zaragoza,coahuila de zaragoza
08,Chihuahua,chihuahua
19,Nuevo León,nuevo leon
23,Quintana Roo,quintana roo
02,Baja California,baja california
06,Colima,colima
24,San Luis Potosí,san luis potosi
32,Zacatecas,zacatecas
09,Ciudad de México,ciudad de mexico
17,Morelos,morelos
18,Nayarit,nayarit
26,Sonora,sonora
27,Tabasco,tabasco
01,Aguascalientes,aguascalientes
16,Michoacán de Ocampo,michoacan de ocampo
22,Querétaro,queretaro
28,Tamaulipas,tamaulipas
31,Yucatán,yucatan
04,Campeche,campeche
13,Hidalgo,hidalgo
10,Durango,durango
12,Guerrero,guerrero
20,Oaxaca,oaxaca
03,Baja California Sur,baja california sur
25,Sinaloa,sinaloa
